ID,Year,Month,Day,Time,Type,Occurence,Apprehension,Neighbourhood_number,Neighbourhood_name
63645,2016,September,Thursday,16,Person in Crisis,No,No,78,Kensington-Chinatown
63646,2016,September,Thursday,0,Suicide-related,No,No,122,Birchcliffe-Cliffside
63647,2016,September,Thursday,0,Suicide-related,Yes,No,27,York University Heights
63648,2016,September,Thursday,16,Suicide-related,No,No,164,Wellington Place
63649,2016,September,Thursday,20,Suicide-related,Yes,No,74,North St.James Town
63650,2016,September,Thursday,12,Person in Crisis,No,No,78,Kensington-Chinatown
63651,2016,September,Thursday,14,Suicide-related,Yes,Yes,136,West Hill
63652,2016,September,Thursday,22,Person in Crisis,No,No,170,Yonge-Bay Corridor
63653,2016,September,Thursday,0,Person in Crisis,No,No,165,Harbourfront-CityPlace
63654,2016,September,Thursday,12,Person in Crisis,No,No,36,Newtonbrook West
63655,2016,September,Thursday,16,Person in Crisis,No,No,120,Clairlea-Birchmount
63656,2016,September,Thursday,23,Person in Crisis,No,No,113,Weston
63657,2016,September,Thursday,19,Person in Crisis,No,No,164,Wellington Place
63658,2016,September,Thursday,17,Person in Crisis,No,No,55,Thorncliffe Park
63659,2016,September,Thursday,22,Person in Crisis,No,No,20,Alderwood
63660,2016,September,Thursday,14,Person in Crisis,Yes,Yes,174,South Eglinton-Davisville
64150,2016,September,Friday,2,Suicide-related,Yes,No,NSA,NSA
64151,2016,September,Friday,12,Person in Crisis,No,No,171,Junction-Wallace Emerson
64152,2016,September,Friday,20,Person in Crisis,Yes,No,162,West Queen West
64153,2016,September,Friday,17,Person in Crisis,Yes,Yes,81,Trinity-Bellwoods
64154,2016,September,Friday,23,Person in Crisis,No,No,100,Yonge-Eglinton
64155,2016,September,Friday,22,Suicide-related,No,No,168,Downtown Yonge East
64156,2016,September,Friday,23,Person in Crisis,No,No,85,South Parkdale
64157,2016,September,Friday,12,Person in Crisis,No,No,1,West Humber-Clairville
64158,2016,September,Friday,12,Suicide-related,No,No,2,Mount Olive-Silverstone-Jamestown
64159,2016,September,Friday,11,Person in Crisis,No,No,54,O'Connor-Parkview
64160,2016,September,Friday,20,Person in Crisis,No,No,102,Forest Hill North
64161,2016,September,Friday,9,Person in Crisis,No,No,96,Casa Loma
64162,2016,September,Friday,19,Suicide-related,Yes,Yes,42,Banbury-Don Mills
64163,2016,September,Friday,16,Person in Crisis,No,No,136,West Hill
64164,2016,September,Friday,14,Suicide-related,No,No,27,York University Heights
64165,2016,September,Friday,22,Person in Crisis,No,No,145,Malvern West
64166,2016,September,Friday,18,Person in Crisis,No,No,38,Lansing-Westgate
64167,2016,September,Friday,0,Person in Crisis,No,No,54,O'Connor-Parkview
64168,2016,September,Friday,5,Person in Crisis,No,No,110,Keelesdale-Eglinton West
64169,2016,September,Friday,20,Suicide-related,Yes,Yes,20,Alderwood
64170,2016,September,Friday,10,Suicide-related,No,No,23,Pelmo Park-Humberlea
64171,2016,September,Friday,4,Suicide-related,No,No,90,Junction Area
64172,2016,September,Friday,21,Person in Crisis,No,No,78,Kensington-Chinatown
64173,2016,September,Friday,21,Suicide-related,No,No,169,Bay-Cloverhill
64174,2016,September,Friday,22,Overdose,Yes,Yes,54,O'Connor-Parkview
64175,2016,September,Friday,20,Suicide-related,Yes,Yes,18,New Toronto
64176,2016,September,Friday,14,Overdose,No,No,162,West Queen West
64177,2016,September,Friday,19,Suicide-related,No,No,18,New Toronto
64178,2016,September,Friday,18,Suicide-related,No,No,38,Lansing-Westgate
64179,2016,September,Friday,19,Person in Crisis,No,No,39,Bedford Park-Nortown
64180,2016,September,Friday,22,Person in Crisis,Yes,Yes,103,Lawrence Park South
64181,2016,September,Friday,23,Overdose,No,No,73,Moss Park
64182,2016,September,Friday,18,Person in Crisis,No,No,73,Moss Park
64183,2016,September,Friday,17,Person in Crisis,Yes,No,52,Bayview Village
64184,2016,September,Friday,17,Person in Crisis,No,No,168,Downtown Yonge East
64185,2016,September,Friday,10,Person in Crisis,No,No,83,Dufferin Grove
64186,2016,September,Friday,17,Person in Crisis,Yes,Yes,84,Little Portugal
64187,2016,September,Friday,13,Person in Crisis,Yes,Yes,1,West Humber-Clairville
64188,2016,September,Friday,10,Person in Crisis,Yes,Yes,85,South Parkdale
64189,2016,September,Friday,17,Person in Crisis,No,No,63,The Beaches
64190,2016,September,Friday,9,Person in Crisis,Yes,Yes,1,West Humber-Clairville
64191,2016,September,Friday,12,Person in Crisis,Yes,Yes,85,South Parkdale
64192,2016,September,Friday,12,Person in Crisis,Yes,Yes,27,York University Heights
64193,2016,September,Friday,0,Person in Crisis,No,No,159,Etobicoke City Centre
64194,2016,September,Friday,16,Person in Crisis,No,No,146,Malvern East
64195,2016,September,Friday,18,Person in Crisis,Yes,No,173,North Toronto
64196,2016,September,Friday,15,Person in Crisis,No,No,90,Junction Area
64197,2016,September,Friday,21,Suicide-related,No,No,88,High Park North
64198,2016,September,Friday,1,Person in Crisis,No,No,71,Cabbagetown-South St.James Town
64199,2016,September,Friday,15,Person in Crisis,Yes,No,165,Harbourfront-CityPlace
64200,2016,September,Friday,11,Person in Crisis,No,No,65,Greenwood-Coxwell
64201,2016,September,Friday,15,Person in Crisis,No,No,71,Cabbagetown-South St.James Town
64202,2016,September,Friday,20,Person in Crisis,No,No,170,Yonge-Bay Corridor
64203,2016,September,Friday,13,Suicide-related,Yes,No,147,L'Amoreaux West
64204,2016,September,Friday,17,Person in Crisis,No,No,87,High Park-Swansea
64205,2016,September,Friday,9,Person in Crisis,Yes,Yes,168,Downtown Yonge East
64206,2016,September,Friday,9,Person in Crisis,No,No,129,Agincourt North
64207,2016,September,Friday,10,Overdose,No,No,174,South Eglinton-Davisville
64208,2016,September,Friday,8,Person in Crisis,No,No,122,Birchcliffe-Cliffside
64209,2016,September,Friday,12,Overdose,No,No,135,Morningside
64210,2016,September,Friday,21,Suicide-related,No,No,49,Bayview Woods-Steeles
64211,2016,September,Friday,9,Person in Crisis,Yes,Yes,6,Kingsview Village-The Westway
64212,2016,September,Friday,4,Person in Crisis,Yes,Yes,136,West Hill
64213,2016,September,Friday,14,Suicide-related,Yes,Yes,141,Golfdale-Cedarbrae-Woburn
64214,2016,September,Friday,14,Person in Crisis,No,No,70,South Riverdale
64215,2016,September,Friday,0,Person in Crisis,No,No,171,Junction-Wallace Emerson
64216,2016,September,Friday,7,Person in Crisis,Yes,Yes,136,West Hill
64217,2016,September,Friday,11,Suicide-related,No,No,168,Downtown Yonge East
64218,2016,September,Friday,10,Suicide-related,Yes,No,24,Black Creek
64219,2016,September,Friday,13,Person in Crisis,No,No,73,Moss Park
64220,2016,September,Friday,20,Overdose,Yes,No,170,Yonge-Bay Corridor
64221,2016,September,Friday,17,Person in Crisis,No,No,19,Long Branch
64222,2016,September,Friday,11,Person in Crisis,Yes,No,107,Oakwood Village
64223,2016,September,Friday,10,Person in Crisis,Yes,Yes,70,South Riverdale
64224,2016,September,Friday,18,Person in Crisis,No,No,71,Cabbagetown-South St.James Town
64477,2016,September,Wednesday,16,Person in Crisis,Yes,Yes,31,Yorkdale-Glen Park
64478,2016,September,Wednesday,16,Person in Crisis,Yes,No,107,Oakwood Village
64479,2016,September,Wednesday,15,Person in Crisis,Yes,Yes,174,South Eglinton-Davisville
64480,2016,September,Wednesday,2,Person in Crisis,No,No,79,University
64481,2016,September,Wednesday,20,Suicide-related,No,No,38,Lansing-Westgate
64482,2016,September,Wednesday,18,Person in Crisis,Yes,No,166,St Lawrence-East Bayfront-The Islands
64483,2016,September,Wednesday,14,Person in Crisis,Yes,Yes,111,Rockcliffe-Smythe
64484,2016,September,Wednesday,16,Overdose,No,No,167,Church-Wellesley
64485,2016,September,Wednesday,18,Person in Crisis,Yes,No,98,Rosedale-Moore Park
64486,2016,September,Wednesday,6,Suicide-related,Yes,No,18,New Toronto
64487,2016,September,Wednesday,16,Suicide-related,Yes,No,85,South Parkdale
64488,2016,September,Wednesday,3,Person in Crisis,No,No,170,Yonge-Bay Corridor
64489,2016,September,Wednesday,23,Suicide-related,No,No,95,Annex
64490,2016,September,Wednesday,18,Person in Crisis,Yes,No,120,Clairlea-Birchmount
64491,2016,September,Wednesday,11,Person in Crisis,No,No,3,Thistletown-Beaumond Heights
64492,2016,September,Wednesday,16,Person in Crisis,Yes,No,142,Woburn North
64493,2016,September,Wednesday,5,Person in Crisis,Yes,No,121,Oakridge
64494,2016,September,Wednesday,23,Suicide-related,No,No,68,North Riverdale
64495,2016,September,Wednesday,13,Person in Crisis,Yes,Yes,78,Kensington-Chinatown
64496,2016,September,Wednesday,21,Overdose,Yes,No,107,Oakwood Village
64497,2016,September,Wednesday,20,Suicide-related,Yes,No,43,Victoria Village
64498,2016,September,Wednesday,18,Person in Crisis,No,No,61,Taylor-Massey
64499,2016,September,Wednesday,2,Person in Crisis,No,No,69,Blake-Jones
64500,2016,September,Wednesday,19,Overdose,No,No,154,Oakdale-Beverley Heights
64501,2016,September,Wednesday,17,Person in Crisis,No,No,7,Willowridge-Martingrove-Richview
64502,2016,September,Wednesday,15,Suicide-related,Yes,Yes,34,Bathurst Manor
64503,2016,September,Wednesday,13,Person in Crisis,No,No,107,Oakwood Village
64504,2016,September,Wednesday,14,Person in Crisis,No,No,170,Yonge-Bay Corridor
64505,2016,September,Wednesday,19,Suicide-related,Yes,No,54,O'Connor-Parkview
64506,2016,September,Wednesday,10,Suicide-related,No,No,20,Alderwood
64507,2016,September,Wednesday,11,Suicide-related,No,No,154,Oakdale-Beverley Heights
64508,2016,September,Wednesday,19,Person in Crisis,No,No,2,Mount Olive-Silverstone-Jamestown
64509,2016,September,Wednesday,0,Person in Crisis,No,No,167,Church-Wellesley
64510,2016,September,Wednesday,17,Person in Crisis,No,No,113,Weston
64511,2016,September,Wednesday,23,Person in Crisis,No,No,64,Woodbine Corridor
64512,2016,September,Wednesday,17,Suicide-related,Yes,No,68,North Riverdale
64513,2016,September,Wednesday,14,Person in Crisis,Yes,Yes,90,Junction Area
64514,2016,September,Wednesday,1,Suicide-related,No,No,73,Moss Park
64515,2016,September,Wednesday,0,Person in Crisis,No,No,3,Thistletown-Beaumond Heights
64516,2016,September,Wednesday,11,Suicide-related,No,No,39,Bedford Park-Nortown
64517,2016,September,Wednesday,20,Suicide-related,Yes,Yes,37,Willowdale West
64518,2016,September,Wednesday,16,Person in Crisis,No,No,97,Yonge-St.Clair
64519,2016,September,Wednesday,9,Person in Crisis,No,No,1,West Humber-Clairville
64520,2016,September,Wednesday,9,Person in Crisis,Yes,Yes,29,Maple Leaf
64521,2016,September,Wednesday,10,Person in Crisis,Yes,Yes,89,Runnymede-Bloor West Village
64522,2016,September,Wednesday,18,Suicide-related,No,No,73,Moss Park
64523,2016,September,Wednesday,20,Suicide-related,Yes,No,98,Rosedale-Moore Park
64524,2016,September,Wednesday,17,Person in Crisis,No,No,111,Rockcliffe-Smythe
64525,2016,September,Wednesday,13,Person in Crisis,No,No,80,Palmerston-Little Italy
64526,2016,September,Wednesday,12,Person in Crisis,Yes,Yes,100,Yonge-Eglinton
64527,2016,September,Wednesday,10,Person in Crisis,No,No,27,York University Heights
64528,2016,September,Wednesday,1,Person in Crisis,Yes,No,73,Moss Park
64529,2016,September,Wednesday,14,Overdose,No,No,53,Henry Farm
64530,2016,September,Wednesday,12,Person in Crisis,No,No,174,South Eglinton-Davisville
64531,2016,September,Wednesday,1,Suicide-related,No,No,79,University
64532,2016,September,Wednesday,13,Person in Crisis,No,No,44,Flemingdon Park
64533,2016,September,Wednesday,8,Person in Crisis,Yes,Yes,37,Willowdale West
64534,2016,September,Wednesday,2,Person in Crisis,No,No,37,Willowdale West
64535,2016,September,Wednesday,21,Person in Crisis,Yes,Yes,146,Malvern East
64536,2016,September,Wednesday,18,Person in Crisis,Yes,Yes,124,Kennedy Park
64537,2016,September,Wednesday,10,Person in Crisis,Yes,No,80,Palmerston-Little Italy
64538,2016,September,Wednesday,21,Person in Crisis,No,No,57,Broadview North
64539,2016,September,Wednesday,16,Person in Crisis,Yes,No,73,Moss Park
64540,2016,September,Wednesday,17,Suicide-related,No,No,30,Brookhaven-Amesbury
64541,2016,September,Wednesday,11,Suicide-related,Yes,No,40,St.Andrew-Windfields
64542,2016,September,Wednesday,21,Suicide-related,Yes,No,170,Yonge-Bay Corridor
64543,2016,September,Wednesday,2,Overdose,Yes,No,54,O'Connor-Parkview
64544,2016,September,Wednesday,7,Person in Crisis,No,No,163,Fort York-Liberty Village
64545,2016,September,Wednesday,14,Suicide-related,Yes,No,144,Morningside Heights
64546,2016,September,Wednesday,12,Person in Crisis,No,No,3,Thistletown-Beaumond Heights
64547,2016,September,Wednesday,11,Person in Crisis,No,No,30,Brookhaven-Amesbury
64548,2016,September,Wednesday,8,Person in Crisis,No,No,164,Wellington Place
64549,2016,September,Wednesday,18,Person in Crisis,No,No,31,Yorkdale-Glen Park
64550,2016,September,Wednesday,9,Suicide-related,No,No,18,New Toronto
64551,2016,September,Wednesday,10,Person in Crisis,No,No,85,South Parkdale
64552,2016,September,Wednesday,17,Person in Crisis,No,No,168,Downtown Yonge East
64553,2016,September,Wednesday,13,Suicide-related,Yes,No,165,Harbourfront-CityPlace
64554,2016,September,Wednesday,13,Person in Crisis,Yes,No,163,Fort York-Liberty Village
64555,2016,September,Thursday,9,Person in Crisis,Yes,Yes,41,Bridle Path-Sunnybrook-York Mills
64556,2016,September,Thursday,21,Suicide-related,No,No,79,University
64557,2016,September,Thursday,17,Overdose,Yes,No,158,Islington
64558,2016,September,Thursday,10,Person in Crisis,No,No,168,Downtown Yonge East
64559,2016,September,Thursday,16,Person in Crisis,No,No,165,Harbourfront-CityPlace
64560,2016,September,Thursday,2,Person in Crisis,No,No,71,Cabbagetown-South St.James Town
64561,2016,September,Thursday,13,Suicide-related,Yes,Yes,140,Guildwood
64562,2016,September,Thursday,9,Person in Crisis,Yes,Yes,42,Banbury-Don Mills
64563,2016,September,Thursday,9,Suicide-related,No,No,NSA,NSA
64564,2016,September,Thursday,13,Person in Crisis,No,No,70,South Riverdale
64565,2016,September,Thursday,17,Person in Crisis,No,No,53,Henry Farm
64566,2016,September,Thursday,8,Person in Crisis,Yes,No,166,St Lawrence-East Bayfront-The Islands
64567,2016,September,Thursday,18,Person in Crisis,No,No,102,Forest Hill North
64568,2016,September,Thursday,15,Suicide-related,Yes,No,167,Church-Wellesley
64569,2016,September,Thursday,23,Person in Crisis,No,No,43,Victoria Village
64570,2016,September,Thursday,22,Person in Crisis,No,No,83,Dufferin Grove
64571,2016,September,Thursday,13,Suicide-related,No,No,2,Mount Olive-Silverstone-Jamestown
64572,2016,September,Thursday,10,Person in Crisis,Yes,Yes,59,Danforth East York
64573,2016,September,Thursday,20,Suicide-related,Yes,Yes,168,Downtown Yonge East
64574,2016,September,Thursday,20,Person in Crisis,No,No,168,Downtown Yonge East
64575,2016,September,Thursday,22,Suicide-related,Yes,Yes,61,Taylor-Massey
64576,2016,September,Thursday,20,Suicide-related,Yes,Yes,18,New Toronto
64577,2016,September,Thursday,17,Person in Crisis,No,No,85,South Parkdale
64578,2016,September,Thursday,15,Person in Crisis,No,No,133,Centennial Scarborough
64579,2016,September,Thursday,10,Person in Crisis,Yes,Yes,70,South Riverdale
64580,2016,September,Thursday,14,Person in Crisis,No,No,6,Kingsview Village-The Westway
64581,2016,September,Thursday,15,Overdose,No,No,164,Wellington Place
64582,2016,September,Thursday,18,Person in Crisis,No,No,37,Willowdale West
64583,2016,September,Thursday,14,Suicide-related,Yes,Yes,72,Regent Park
64584,2016,September,Thursday,19,Person in Crisis,No,No,68,North Riverdale
64585,2016,September,Thursday,23,Person in Crisis,No,No,73,Moss Park
64586,2016,September,Thursday,16,Person in Crisis,No,No,162,West Queen West
64587,2016,September,Thursday,8,Person in Crisis,No,No,85,South Parkdale
64588,2016,September,Thursday,20,Person in Crisis,No,No,172,Dovercourt Village
64589,2016,September,Thursday,3,Suicide-related,No,No,72,Regent Park
64590,2016,September,Thursday,15,Person in Crisis,No,No,79,University
64591,2016,September,Thursday,23,Person in Crisis,No,No,47,Don Valley Village
64592,2016,September,Thursday,21,Suicide-related,Yes,Yes,65,Greenwood-Coxwell
64593,2016,September,Thursday,15,Person in Crisis,No,No,146,Malvern East
64594,2016,September,Thursday,22,Person in Crisis,Yes,No,63,The Beaches
64595,2016,September,Thursday,19,Person in Crisis,No,No,73,Moss Park
64596,2016,September,Thursday,15,Person in Crisis,No,No,74,North St.James Town
64597,2016,September,Thursday,15,Person in Crisis,Yes,Yes,143,West Rouge
64598,2016,September,Thursday,7,Person in Crisis,No,No,85,South Parkdale
64599,2016,September,Thursday,14,Suicide-related,Yes,No,52,Bayview Village
64600,2016,September,Thursday,16,Suicide-related,No,No,38,Lansing-Westgate
64601,2016,September,Thursday,16,Person in Crisis,No,No,69,Blake-Jones
64602,2016,September,Thursday,9,Suicide-related,No,No,72,Regent Park
64603,2016,September,Thursday,18,Person in Crisis,Yes,No,133,Centennial Scarborough
64604,2016,September,Thursday,21,Suicide-related,No,No,159,Etobicoke City Centre
64605,2016,September,Thursday,0,Person in Crisis,No,No,73,Moss Park
64606,2016,September,Thursday,0,Person in Crisis,No,No,96,Casa Loma
64607,2016,September,Thursday,14,Person in Crisis,No,No,89,Runnymede-Bloor West Village
64608,2016,September,Thursday,0,Suicide-related,No,No,170,Yonge-Bay Corridor
64609,2016,September,Thursday,20,Suicide-related,Yes,No,71,Cabbagetown-South St.James Town
64610,2016,September,Thursday,0,Person in Crisis,No,No,167,Church-Wellesley
64611,2016,September,Thursday,10,Person in Crisis,Yes,No,160,Mimico-Queensway
64612,2016,September,Thursday,0,Person in Crisis,No,No,27,York University Heights
64613,2016,September,Thursday,15,Suicide-related,Yes,No,7,Willowridge-Martingrove-Richview
64614,2016,September,Thursday,6,Overdose,Yes,No,144,Morningside Heights
64615,2016,September,Thursday,0,Person in Crisis,No,No,167,Church-Wellesley
64616,2016,September,Thursday,23,Person in Crisis,Yes,Yes,155,Downsview
64617,2016,September,Thursday,19,Overdose,No,No,80,Palmerston-Little Italy
64618,2016,September,Thursday,13,Overdose,No,No,170,Yonge-Bay Corridor
64619,2016,September,Thursday,22,Person in Crisis,No,No,48,Hillcrest Village
64620,2016,September,Thursday,5,Person in Crisis,No,No,120,Clairlea-Birchmount
64621,2016,September,Thursday,9,Person in Crisis,No,No,169,Bay-Cloverhill
64622,2016,September,Thursday,19,Suicide-related,Yes,No,168,Downtown Yonge East
64623,2016,September,Thursday,21,Person in Crisis,Yes,Yes,167,Church-Wellesley
64624,2016,September,Thursday,14,Suicide-related,No,No,27,York University Heights
64625,2016,September,Thursday,15,Person in Crisis,No,No,91,Weston-Pelham Park
64626,2016,September,Thursday,14,Person in Crisis,No,No,153,Avondale
64627,2016,September,Thursday,20,Person in Crisis,No,No,139,Scarborough Village
64628,2016,September,Thursday,12,Person in Crisis,No,No,32,Englemount-Lawrence
64629,2016,September,Thursday,18,Person in Crisis,No,No,85,South Parkdale
64630,2016,September,Thursday,1,Person in Crisis,No,No,78,Kensington-Chinatown
64631,2016,September,Thursday,18,Person in Crisis,No,No,111,Rockcliffe-Smythe
64632,2016,September,Thursday,11,Person in Crisis,No,No,111,Rockcliffe-Smythe
64633,2016,September,Thursday,22,Person in Crisis,No,No,40,St.Andrew-Windfields
64634,2016,September,Friday,0,Overdose,No,No,154,Oakdale-Beverley Heights
64635,2016,September,Friday,13,Person in Crisis,Yes,Yes,170,Yonge-Bay Corridor
64636,2016,September,Friday,4,Person in Crisis,No,No,141,Golfdale-Cedarbrae-Woburn
64637,2016,September,Friday,20,Person in Crisis,No,No,71,Cabbagetown-South St.James Town
64638,2016,September,Friday,22,Suicide-related,No,No,79,University
64639,2016,September,Friday,8,Suicide-related,Yes,No,153,Avondale
64640,2016,September,Friday,10,Person in Crisis,Yes,Yes,110,Keelesdale-Eglinton West
64641,2016,September,Friday,13,Person in Crisis,No,No,174,South Eglinton-Davisville
64642,2016,September,Friday,6,Person in Crisis,No,No,54,O'Connor-Parkview
64643,2016,September,Friday,13,Person in Crisis,No,No,126,Dorset Park
64644,2016,September,Friday,23,Suicide-related,No,No,103,Lawrence Park South
64645,2016,September,Friday,1,Overdose,Yes,No,64,Woodbine Corridor
64646,2016,September,Friday,15,Person in Crisis,Yes,No,69,Blake-Jones
64647,2016,September,Friday,16,Person in Crisis,Yes,Yes,73,Moss Park
64648,2016,September,Friday,16,Person in Crisis,Yes,Yes,92,Corso Italia-Davenport
64649,2016,September,Friday,0,Overdose,No,No,73,Moss Park
64650,2016,September,Friday,21,Person in Crisis,No,No,164,Wellington Place
64651,2016,September,Friday,19,Overdose,Yes,No,74,North St.James Town
64652,2016,September,Friday,17,Person in Crisis,No,No,159,Etobicoke City Centre
64653,2016,September,Friday,13,Person in Crisis,Yes,No,47,Don Valley Village
64654,2016,September,Friday,11,Person in Crisis,Yes,No,119,Wexford/Maryvale
64655,2016,September,Friday,19,Person in Crisis,No,No,85,South Parkdale
64656,2016,September,Friday,8,Person in Crisis,No,No,63,The Beaches
64657,2016,September,Friday,12,Suicide-related,Yes,Yes,122,Birchcliffe-Cliffside
64658,2016,September,Friday,0,Person in Crisis,No,No,136,West Hill
64659,2016,September,Friday,4,Suicide-related,No,No,73,Moss Park
64660,2016,September,Friday,18,Person in Crisis,Yes,Yes,90,Junction Area
64661,2016,September,Friday,8,Person in Crisis,No,No,162,West Queen West
64662,2016,September,Friday,13,Person in Crisis,Yes,Yes,87,High Park-Swansea
64663,2016,September,Friday,16,Overdose,Yes,Yes,159,Etobicoke City Centre
64664,2016,September,Friday,11,Suicide-related,Yes,No,78,Kensington-Chinatown
64665,2016,September,Friday,18,Person in Crisis,No,No,36,Newtonbrook West
64666,2016,September,Friday,11,Overdose,Yes,Yes,54,O'Connor-Parkview
64667,2016,September,Friday,23,Overdose,Yes,Yes,166,St Lawrence-East Bayfront-The Islands
64668,2016,September,Friday,2,Suicide-related,No,No,2,Mount Olive-Silverstone-Jamestown
64669,2016,September,Friday,12,Person in Crisis,No,No,153,Avondale
64670,2016,September,Friday,13,Person in Crisis,Yes,Yes,84,Little Portugal
64671,2016,September,Friday,14,Person in Crisis,No,No,48,Hillcrest Village
64672,2016,September,Friday,21,Person in Crisis,No,No,33,Clanton Park
64673,2016,September,Friday,18,Person in Crisis,No,No,167,Church-Wellesley
64674,2016,September,Friday,12,Person in Crisis,Yes,No,73,Moss Park
64675,2016,September,Friday,16,Overdose,No,No,115,Mount Dennis
64676,2016,September,Friday,13,Person in Crisis,No,No,73,Moss Park
64677,2016,September,Friday,22,Person in Crisis,Yes,No,24,Black Creek
64678,2016,September,Friday,15,Person in Crisis,No,No,32,Englemount-Lawrence
64679,2016,September,Friday,21,Overdose,No,No,168,Downtown Yonge East
64680,2016,September,Friday,21,Person in Crisis,No,No,69,Blake-Jones
64681,2016,September,Friday,19,Person in Crisis,Yes,Yes,142,Woburn North
64682,2016,September,Friday,23,Overdose,No,No,78,Kensington-Chinatown
64683,2016,September,Friday,0,Suicide-related,No,No,111,Rockcliffe-Smythe
64684,2016,September,Friday,12,Person in Crisis,Yes,Yes,167,Church-Wellesley
64685,2016,September,Friday,11,Person in Crisis,No,No,166,St Lawrence-East Bayfront-The Islands
64686,2016,September,Friday,9,Person in Crisis,Yes,Yes,59,Danforth East York
64687,2016,September,Friday,23,Person in Crisis,No,No,172,Dovercourt Village
64688,2016,September,Friday,21,Person in Crisis,Yes,No,151,Yonge-Doris
64689,2016,September,Friday,7,Overdose,Yes,Yes,70,South Riverdale
64690,2016,September,Friday,11,Person in Crisis,Yes,Yes,2,Mount Olive-Silverstone-Jamestown
64691,2016,September,Friday,12,Person in Crisis,No,No,168,Downtown Yonge East
64692,2016,September,Friday,4,Suicide-related,Yes,Yes,141,Golfdale-Cedarbrae-Woburn
64693,2016,September,Friday,3,Person in Crisis,No,No,141,Golfdale-Cedarbrae-Woburn
64694,2016,September,Friday,19,Suicide-related,No,No,133,Centennial Scarborough
64695,2016,September,Friday,19,Person in Crisis,Yes,No,21,Humber Summit
64696,2016,September,Friday,11,Suicide-related,No,No,63,The Beaches
64697,2016,September,Friday,16,Person in Crisis,Yes,Yes,168,Downtown Yonge East
64698,2016,September,Friday,10,Suicide-related,Yes,Yes,1,West Humber-Clairville
64699,2016,September,Friday,21,Suicide-related,Yes,Yes,146,Malvern East
64700,2016,September,Friday,8,Person in Crisis,Yes,Yes,168,Downtown Yonge East
64701,2016,September,Friday,13,Suicide-related,No,No,37,Willowdale West
64702,2016,September,Friday,23,Person in Crisis,No,No,78,Kensington-Chinatown
64703,2016,September,Friday,19,Person in Crisis,No,No,99,Mount Pleasant East
65294,2016,October,Monday,21,Person in Crisis,No,No,1,West Humber-Clairville
65295,2016,October,Monday,20,Overdose,Yes,No,22,Humbermede
65296,2016,October,Monday,2,Suicide-related,No,No,36,Newtonbrook West
65297,2016,October,Monday,17,Person in Crisis,No,No,78,Kensington-Chinatown
65298,2016,October,Monday,21,Person in Crisis,No,No,80,Palmerston-Little Italy
65299,2016,October,Monday,11,Person in Crisis,No,No,32,Englemount-Lawrence
65300,2016,October,Monday,1,Person in Crisis,No,No,68,North Riverdale
65301,2016,October,Monday,21,Person in Crisis,No,No,23,Pelmo Park-Humberlea
65302,2016,October,Monday,2,Suicide-related,Yes,No,13,Etobicoke West Mall
65303,2016,October,Monday,13,Person in Crisis,Yes,Yes,136,West Hill
65304,2016,October,Monday,16,Person in Crisis,No,No,49,Bayview Woods-Steeles
65305,2016,October,Monday,8,Person in Crisis,No,No,126,Dorset Park
65306,2016,October,Monday,22,Suicide-related,Yes,Yes,1,West Humber-Clairville
65307,2016,October,Monday,15,Person in Crisis,No,No,32,Englemount-Lawrence
65308,2016,October,Monday,22,Suicide-related,No,No,126,Dorset Park
65309,2016,October,Monday,23,Person in Crisis,Yes,Yes,78,Kensington-Chinatown
65310,2016,October,Monday,22,Suicide-related,Yes,Yes,156,Bendale-Glen Andrew
65311,2016,October,Monday,19,Suicide-related,Yes,Yes,95,Annex
65312,2016,October,Monday,19,Person in Crisis,No,No,73,Moss Park
65313,2016,October,Monday,3,Suicide-related,Yes,Yes,1,West Humber-Clairville
65314,2016,October,Monday,20,Person in Crisis,No,No,73,Moss Park
65315,2016,October,Monday,20,Overdose,No,No,35,Westminster-Branson
65316,2016,October,Monday,11,Person in Crisis,No,No,87,High Park-Swansea
65317,2016,October,Monday,5,Person in Crisis,No,No,38,Lansing-Westgate
65318,2016,October,Monday,4,Suicide-related,Yes,Yes,18,New Toronto
65319,2016,October,Monday,19,Person in Crisis,No,No,73,Moss Park
65320,2016,October,Monday,19,Suicide-related,Yes,No,58,Old East York
65321,2016,October,Monday,15,Person in Crisis,No,No,86,Roncesvalles
65322,2016,October,Monday,21,Suicide-related,No,No,6,Kingsview Village-The Westway
65323,2016,October,Monday,18,Suicide-related,Yes,Yes,149,Parkwoods-O'Connor Hills
65324,2016,October,Monday,8,Person in Crisis,Yes,Yes,33,Clanton Park
65325,2016,October,Monday,23,Person in Crisis,Yes,Yes,43,Victoria Village
65326,2016,October,Monday,9,Suicide-related,No,No,147,L'Amoreaux West
65327,2016,October,Monday,4,Overdose,Yes,No,165,Harbourfront-CityPlace
65328,2016,October,Monday,20,Suicide-related,Yes,Yes,11,Eringate-Centennial-West Deane
65329,2016,October,Monday,0,Suicide-related,No,No,107,Oakwood Village
65330,2016,October,Monday,2,Person in Crisis,No,No,71,Cabbagetown-South St.James Town
65331,2016,October,Monday,21,Overdose,Yes,Yes,161,Humber Bay Shores
65332,2016,October,Monday,21,Overdose,Yes,No,124,Kennedy Park
65333,2016,October,Monday,5,Person in Crisis,No,No,78,Kensington-Chinatown
65334,2016,October,Monday,2,Person in Crisis,No,No,115,Mount Dennis
